source,source_type,date,leader,url,title
Brasil de Fato,domestic,,lula_da_silva,https://www.brasildefato.com.br/2026/02/05/we-will-not-look-the-other-way-brazil-launches-coordinated-national-strategy-to-fight-femicide/,‘We will not look the other way’: Brazil launches coordinated national strategy to fight femicide
CBC News,domestic,,mark_carney,https://www.cbc.ca/news/politics/electric-vehicles-climate-change-mark-carney-9.7078401,Will Canada's new auto strategy put as many EVs on the road as Carney says?
CBC News,domestic,,mark_carney,https://www.cbc.ca/news/politics/carney-dropping-ev-mandate-introducing-new-emissions-standards-9.7075302,"Goodbye EV sales mandate, hello purchase rebates. Carney shakes up Canada's auto industry"
Cabinet of Ministers,domestic,,evika_siliņa,https://www.mk.gov.lv/lv/jaunums/e-silina-xxv-ziemas-olimpisko-spelu-pasakumos-milana-mes-neesam-liela-nacija-bet-mums-ir-lieli-sapni,"E. Siliņa XXV ziemas olimpisko spēļu pasākumos Milānā: Mēs neesam liela nācija, bet mums ir lieli sa"
Corriere della Sera,domestic,,giorgia_meloni,https://milano.corriere.it/notizie/cronaca/26_febbraio_05/j-d-vance-a-milano-la-giornata-del-vicepresidente-usa-tra-lusso-e-diplomazia-corteo-da-45-auto-quattro-piani-bloccati-in-hotel-e-6ac31bd8-6572-4aca-9ad6-c1fe8d377xlk.shtml,"J. D. Vance a Milano, la giornata del vicepresidente Usa tra lusso e diplomazia: corteo da 45 auto, "
Corriere della Sera,domestic,,giorgia_meloni,https://video.corriere.it/roma/ritratto-meloni-giulia-bongiorno-a-san-lorenzo-in-lucina-guardate-il-crocifisso-di-guido-reni-il-resto-lasciatelo-stare/b0ba378b-dfa3-43e4-b982-c3a28a1c2xlk,"Ritratto Meloni, Giulia Bongiorno a San Lorenzo in Lucina: «Guardate il crocifisso di Guido Reni, il"
Corriere della Sera,domestic,,giorgia_meloni,https://www.corriere.it/politica/26_febbraio_08/pucci-il-pd-replica-a-meloni-il-paese-in-emergenza-lei-pensa-a-sanremo-c741f449-8da8-43bf-a050-8afada516xlk.shtml,"Pucci, il Pd replica a Meloni: «Il Paese in emergenza, lei pensa a Sanremo». Renzi: «Lei fa più ride"
Corriere della Sera,domestic,,giorgia_meloni,https://www.corriere.it/esteri/26_febbraio_07/meloni-vance-board-of-peace-2c54f6b6-4ae2-43f5-82d1-f58c7d1c7xlk.shtml,Il bilaterale Meloni-Vance e la spinta Usa per un ruolo dell'Italia nel «Board of Peace». L'ipotesi 
Corriere della Sera,domestic,,giorgia_meloni,https://roma.corriere.it/notizie/politica/26_febbraio_02/affresco-san-lorenzo-lucina-meloni-65aef752-4260-4535-a99b-2621e0902xlk.shtml,"L'affresco di San Lorenzo in Lucina è una vittoria alata, non un angelo: ma l'immagine del 2000 non "
Delfi Estonia,domestic,,kristen_michal,https://www.delfi.ee/artikkel/120434118/otsepilt-ja-blogi-valitsuse-pressikonverentsil-annavad-aru-michal-kallas-keldo-ja-pakosta,"VIDEOD | Peaminister Michal president Karise sõnavõttudest: olen kurb, et pean üldse midagi ütlema"
Delfi Estonia,domestic,,kristen_michal,https://www.delfi.ee/artikkel/120434118/,"VIDEOD | Peaminister Michal president Karise sõnavõttudest: olen kurb, et pean üldse midagi ütlema"
Delfi Latvija,domestic,,evika_siliņa,https://www.delfi.lv/video/54057146/kapec/120105533/bac-pagaidam-nezina-ka-izpildit-silinas-uzdevumu-par-epstina-failiem,"BAC pagaidām nezina, kā izpildīt Siliņas uzdevumu par Epstīna failiem"
Der Spiegel,domestic,,friedrich_merz,https://www.spiegel.de/wirtschaft/soziales/rente-reform-der-altersversorgung-bekommt-in-der-regierung-oberste-prioritaet-a-7a6db17a-a064-47d4-97ce-3cee4b641a07,Umbau des Sozialstaats: Rentenreform bekommt in der Regierung oberste Priorität
Der Spiegel,domestic,,friedrich_merz,https://www.spiegel.de/politik/deutschland/cdu-die-partei-ist-enttaeuscht-von-friedrich-merz-und-wird-rebellisch-a-80fadabd-8056-4293-b31d-7c85e64a4740,CDU: Die Partei ist enttäuscht von Friedrich Merz – und wird rebellisch
Der Spiegel,domestic,,friedrich_merz,https://www.spiegel.de/politik/deutschland/friedrich-merz-regierung-flog-mit-sechs-jets-zu-mini-gipfel-in-rom-a-a55bacf5-6c58-46a8-a435-b220aecf4e21,Friedrich Merz: Regierung flog mit sechs Jets zu Mini-Gipfel in Rom
Der Spiegel,domestic,,friedrich_merz,https://www.spiegel.de/politik/deutschland/saudi-arabien-katar-vae-gruene-verlangen-von-friedrich-merz-klare-worte-gegenueber-scheichs-a-0c4425ea-1edd-4f47-a51f-004011b45045,"Saudi-Arabien, Katar, VAE: Grüne verlangen von Friedrich Merz klare Worte gegenüber Scheichs"
ERR,domestic,,kristen_michal,https://www.err.ee/1609932539/michal-karise-valjautlemised-on-vastuolus-eesti-pohimotteliste-vaartustega,Michal: Karise väljaütlemised on vastuolus Eesti põhimõtteliste väärtustega
ERR,domestic,,kristen_michal,https://www.err.ee/1609932152/otse-kell-12-valitsuse-pressikonverentsil-michal-kallas-keldo-pakosta,"Otse kell 12: valitsuse pressikonverentsil Michal, Kallas, Keldo, Pakosta"
ERR,domestic,,kristen_michal,https://news.err.ee/1609930736/pm-estonia-pushing-latvia-to-keep-rail-baltica-construction-on-schedule,PM: Estonia pushing Latvia to keep Rail Baltica construction on schedule
ERR,domestic,,kristen_michal,https://news.err.ee/1609932554/pm-karis-latest-ukraine-remarks-clash-with-estonia-s-core-values,PM: Karis' latest Ukraine remarks clash with Estonia's core values
El Financiero,domestic,,claudia_sheinbaum,https://www.elfinanciero.com.mx/nacional/2026/02/05/cuba-agradece-a-sheinbaum-envio-de-petroleo-pero-lamenta-que-desde-diciembre-no-recibe-combustible/,Cuba agradece a Sheinbaum envío de petróleo... pero ‘lamenta’ que desde diciembre no recibe combusti
El Financiero,domestic,,claudia_sheinbaum,https://www.elfinanciero.com.mx/nacional/2026/02/06/cargamento-desde-mexico-para-cuba-que-lleva-el-buque-con-ayuda-humanitaria-segun-sheinbaum/,"Cargamento desde México para Cuba: ¿Qué lleva el buque con ayuda humanitaria, según Sheinbaum?"
